,Dataset,Algorithm,Fold,Accuracy,Fscore,TrainingTime,NoFeatures,Meta
0,arrhythmia,CART,4.5,0.9689371980676329,0.6690476190476191,0.0063881069421768185,278.0,
1,arrhythmia,DynFS(EvolutionStrategyMpL),4.5,0.9579227053140098,0.6395238095238096,687.0178432315588,40.3,
2,arrhythmia,DynFS(GeneticAlgorithm),4.5,0.9667149758454107,0.6714285714285714,1403.3707886386662,38.5,
3,arrhythmia,DynFS(GreyWolfOptimizer),4.5,0.960144927536232,0.6616666666666667,860.9182466175407,27.6,
4,arrhythmia,DynFS(ParticleSwarmAlgorithm),4.5,0.9534299516908213,0.56,857.6770214259625,39.8,
5,arrhythmia,DynFS(SelfAdaptiveDifferentialEvolution),4.5,0.9712560386473431,0.6557142857142857,500.7115883909166,39.4,
6,arrhythmia,EvoFS(EvolutionStrategyMpL),4.5,0.9601932367149759,0.6033333333333333,499.30327020026743,15.7,
7,arrhythmia,EvoFS(GeneticAlgorithm),4.5,0.9601932367149759,0.6033333333333333,499.07838014662264,15.7,
8,arrhythmia,EvoFS(GreyWolfOptimizer),4.5,0.9601932367149759,0.6033333333333333,500.2883459970355,15.7,
9,arrhythmia,EvoFS(ParticleSwarmAlgorithm),4.5,0.9601932367149759,0.6033333333333333,501.2966179355979,15.7,
10,arrhythmia,EvoFS(SelfAdaptiveDifferentialEvolution),4.5,0.9601932367149759,0.6033333333333333,496.9751791972667,15.7,
11,libras_move,CART,4.5,0.9166666666666664,0.5034920634920635,0.009258712455630303,90.0,
12,libras_move,DynFS(EvolutionStrategyMpL),4.5,0.9416666666666668,0.6215151515151516,588.4896054916084,11.5,
13,libras_move,DynFS(GeneticAlgorithm),4.5,0.9194444444444445,0.3911111111111111,1127.8968477565795,12.7,
14,libras_move,DynFS(GreyWolfOptimizer),4.5,0.9166666666666666,0.3138095238095238,798.5307609718293,5.2,
15,libras_move,DynFS(ParticleSwarmAlgorithm),4.5,0.8805555555555555,0.3867482517482518,952.6679633922874,11.3,
16,libras_move,DynFS(SelfAdaptiveDifferentialEvolution),4.5,0.8638888888888889,0.3625541125541125,502.59578378871083,10.7,
17,libras_move,EvoFS(EvolutionStrategyMpL),4.5,0.8805555555555555,0.310966810966811,404.96677226014435,2.8,
18,libras_move,EvoFS(GeneticAlgorithm),4.5,0.8805555555555555,0.310966810966811,407.54153953455386,2.8,
19,libras_move,EvoFS(GreyWolfOptimizer),4.5,0.8805555555555555,0.310966810966811,405.7485690828413,2.8,
20,libras_move,EvoFS(ParticleSwarmAlgorithm),4.5,0.8805555555555555,0.310966810966811,404.1057183973491,2.8,
21,libras_move,EvoFS(SelfAdaptiveDifferentialEvolution),4.5,0.8805555555555555,0.310966810966811,403.2221747934819,2.8,
22,oil,CART,4.5,0.9072523450011438,0.32197440240918496,0.009425367042422295,49.0,
23,oil,DynFS(EvolutionStrategyMpL),4.5,0.9091397849462366,0.22655122655122656,712.8468751113862,7.6,
24,oil,DynFS(GeneticAlgorithm),4.5,0.9402425074353694,0.23910256410256409,1394.6536134693772,6.7,
25,oil,DynFS(GreyWolfOptimizer),4.5,0.9156829100892245,0.24833333333333335,1005.0121844928711,3.5,
26,oil,DynFS(ParticleSwarmAlgorithm),4.5,0.926412720201327,0.3458802308802309,1291.052549451962,9.8,
27,oil,DynFS(SelfAdaptiveDifferentialEvolution),4.5,0.9177190574239305,0.2684126984126984,635.8018898162991,7.6,
28,oil,EvoFS(EvolutionStrategyMpL),4.5,0.887565774422329,0.22025252525252528,619.4201977171003,4.3,
29,oil,EvoFS(GeneticAlgorithm),4.5,0.887565774422329,0.22025252525252528,637.3191353689879,4.3,
30,oil,EvoFS(GreyWolfOptimizer),4.5,0.887565774422329,0.22025252525252528,633.0301389634609,4.3,
31,oil,EvoFS(ParticleSwarmAlgorithm),4.5,0.887565774422329,0.22025252525252528,635.4516840491444,4.3,
32,oil,EvoFS(SelfAdaptiveDifferentialEvolution),4.5,0.887565774422329,0.22025252525252528,631.7977233994752,4.3,
33,optical_digits,CART,4.5,0.9590747330960852,0.7886580090032529,0.030376866087317468,64.0,
34,optical_digits,DynFS(EvolutionStrategyMpL),4.5,0.9544483985765124,0.7709183154480602,1853.6744494244456,15.2,
35,optical_digits,DynFS(GeneticAlgorithm),4.5,0.9558718861209965,0.7717438390341498,3876.3473816134037,13.9,
36,optical_digits,DynFS(GreyWolfOptimizer),4.5,0.9453736654804269,0.730050820672653,2839.3198820628227,8.6,
37,optical_digits,DynFS(ParticleSwarmAlgorithm),4.5,0.9562277580071175,0.7801792164054794,3901.466958295554,15.6,
38,optical_digits,DynFS(SelfAdaptiveDifferentialEvolution),4.5,0.95711743772242,0.7831002265043836,1905.3351908896118,16.4,
39,optical_digits,EvoFS(EvolutionStrategyMpL),4.5,0.9503558718861209,0.7508374775063262,2330.6139792524277,22.9,
40,optical_digits,EvoFS(GeneticAlgorithm),4.5,0.9503558718861209,0.7508374775063262,2329.2632816988976,22.9,
41,optical_digits,EvoFS(GreyWolfOptimizer),4.5,0.9503558718861209,0.7508374775063262,2329.518250573054,22.9,
42,optical_digits,EvoFS(ParticleSwarmAlgorithm),4.5,0.9503558718861209,0.7508374775063262,2323.0878654070198,22.9,
43,optical_digits,EvoFS(SelfAdaptiveDifferentialEvolution),4.5,0.9503558718861209,0.7508374775063262,2331.09810029231,22.9,
44,ozone_level,CART,4.5,0.9372973141203198,0.21017369147824555,0.06591996513307094,72.0,
45,ozone_level,DynFS(EvolutionStrategyMpL),4.5,0.9432137188385049,0.1571744595274007,2231.3645057637245,12.0,
46,ozone_level,DynFS(GeneticAlgorithm),4.5,0.9329494880333634,0.1787714915990778,4726.30404557474,9.4,
47,ozone_level,DynFS(GreyWolfOptimizer),4.5,0.937314431545859,0.1380495148126727,2678.8139659553767,3.9,
48,ozone_level,DynFS(ParticleSwarmAlgorithm),4.5,0.9420279480875168,0.19046774848707335,4464.998629098385,11.6,
49,ozone_level,DynFS(SelfAdaptiveDifferentialEvolution),4.5,0.9420372848650835,0.15913431013431012,2240.871952847391,14.2,
50,ozone_level,EvoFS(EvolutionStrategyMpL),4.5,0.9357349600074694,0.10386775762936754,1985.7779272399844,7.9,
51,ozone_level,EvoFS(GeneticAlgorithm),4.5,0.9357349600074694,0.10386775762936754,1970.355206010118,7.9,
52,ozone_level,EvoFS(GreyWolfOptimizer),4.5,0.9357349600074694,0.10386775762936754,2001.8369265928864,7.9,
53,ozone_level,EvoFS(ParticleSwarmAlgorithm),4.5,0.9357349600074694,0.10386775762936754,1981.149737945199,7.9,
54,ozone_level,EvoFS(SelfAdaptiveDifferentialEvolution),4.5,0.9357349600074694,0.10386775762936754,1975.751844208315,7.9,
55,spectrometer,CART,4.5,0.95104821802935,0.7111149961149963,0.016833532229065896,93.0,
56,spectrometer,DynFS(EvolutionStrategyMpL),4.5,0.9567085953878406,0.7242640692640692,808.7937534090131,12.1,
57,spectrometer,DynFS(GeneticAlgorithm),4.5,0.9472396925227115,0.7053574203574202,1589.8328412100673,12.7,
58,spectrometer,DynFS(GreyWolfOptimizer),4.5,0.960377358490566,0.725,1184.748319202289,6.5,
59,spectrometer,DynFS(ParticleSwarmAlgorithm),4.5,0.9604821802935009,0.7578354978354978,1446.7583836637436,14.2,
60,spectrometer,DynFS(SelfAdaptiveDifferentialEvolution),4.5,0.9453529000698812,0.6658241758241756,752.6843629028648,12.4,
61,spectrometer,EvoFS(EvolutionStrategyMpL),4.5,0.9170510132774282,0.43515873015873013,611.733208706975,3.4,
62,spectrometer,EvoFS(GeneticAlgorithm),4.5,0.9170510132774282,0.43515873015873013,600.9832538664341,3.4,
63,spectrometer,EvoFS(GreyWolfOptimizer),4.5,0.9170510132774282,0.43515873015873013,606.0031699948013,3.4,
64,spectrometer,EvoFS(ParticleSwarmAlgorithm),4.5,0.9170510132774282,0.43515873015873013,605.6247421234846,3.4,
65,spectrometer,EvoFS(SelfAdaptiveDifferentialEvolution),4.5,0.9170510132774282,0.43515873015873013,615.2253257174045,3.4,
66,us_crime,CART,4.5,0.9011984924623118,0.4111968794962154,0.056318147107958794,100.0,
67,us_crime,DynFS(EvolutionStrategyMpL),4.5,0.9112638190954774,0.41089257317065997,2156.1473459504546,16.8,
68,us_crime,DynFS(GeneticAlgorithm),4.5,0.8967035175879398,0.3392134135279296,4548.5357457995415,14.1,
69,us_crime,DynFS(GreyWolfOptimizer),4.5,0.897713567839196,0.37169196128956977,2607.213798738271,5.6,
70,us_crime,DynFS(ParticleSwarmAlgorithm),4.5,0.8906984924623116,0.31400712199298864,4475.898687995225,14.9,
71,us_crime,DynFS(SelfAdaptiveDifferentialEvolution),4.5,0.8992085427135679,0.338764003320455,2255.9900502845644,15.3,
72,us_crime,EvoFS(EvolutionStrategyMpL),4.5,0.9012085427135679,0.3646233104297621,2450.801380953938,13.4,
73,us_crime,EvoFS(GeneticAlgorithm),4.5,0.9012085427135679,0.3646233104297621,2444.053274822235,13.4,
74,us_crime,EvoFS(GreyWolfOptimizer),4.5,0.9012085427135679,0.3646233104297621,2453.6910124227406,13.4,
75,us_crime,EvoFS(ParticleSwarmAlgorithm),4.5,0.9012085427135679,0.3646233104297621,2450.533571569994,13.4,
76,us_crime,EvoFS(SelfAdaptiveDifferentialEvolution),4.5,0.9012085427135679,0.3646233104297621,2448.216079911217,13.4,
77,yeast_ml8,CART,4.5,0.8531394670964646,0.06436879574687923,0.3653218798339367,103.0,
78,yeast_ml8,DynFS(EvolutionStrategyMpL),4.5,0.8622218030931725,0.1098134609201169,10758.324097831919,14.4,
79,yeast_ml8,DynFS(GeneticAlgorithm),4.5,0.8493964541682384,0.05074271043462314,23673.42990465239,14.9,
80,yeast_ml8,DynFS(GreyWolfOptimizer),4.5,0.8630636809437264,0.09039976116214507,10759.882871478423,4.4,
81,yeast_ml8,DynFS(ParticleSwarmAlgorithm),4.5,0.856863619217448,0.08293789109370324,23992.82087969072,17.5,
82,yeast_ml8,DynFS(SelfAdaptiveDifferentialEvolution),4.5,0.8680309317238779,0.11964172688281347,11395.484656745568,18.2,
83,yeast_ml8,EvoFS(EvolutionStrategyMpL),4.5,0.848587154075649,0.07428301903990739,8394.056142876298,9.0,
84,yeast_ml8,EvoFS(GeneticAlgorithm),4.5,0.848587154075649,0.07428301903990739,8388.94160315469,9.0,
85,yeast_ml8,EvoFS(GreyWolfOptimizer),4.5,0.848587154075649,0.07428301903990739,8385.285587447137,9.0,
86,yeast_ml8,EvoFS(ParticleSwarmAlgorithm),4.5,0.848587154075649,0.07428301903990739,8394.70847526118,9.0,
87,yeast_ml8,EvoFS(SelfAdaptiveDifferentialEvolution),4.5,0.848587154075649,0.07428301903990739,8401.119119985402,9.0,
